CASE_CODE,TITLE,REGULATION_ID,NOTIFICATION_DATE,SIMPL_PROC,LAST_DECISION_DATE,DEADLINE_DATE,NACE_CODE
M.10,CONAGRA / IDEA,Council Regulation 4064/89,25-04-91,N,30-05-91,31-05-91,"C.10.11 - Processing and preserving of meat, C.10.11 - Processing and preserving of meat"
M.1001,PREUSSAG / HAPAG-LLOYD,Council Regulation 4064/89,30-09-97,N,10-11-97,12-11-97,"H.49 - Land transport and transport via pipelines, H.49 - Land transport and transport via pipelines, H.50 - Water transport, H.50 - Water transport"
M.1003,ALCOA / INESPAL,Council Regulation 4064/89,23-09-97,N,24-10-97,24-10-97,"C.24.42 - Aluminium production, C.24.42 - Aluminium production"
M.1004,BLOHM + VOSS / LISNAVE,Council Regulation 4064/89,13-05-98,N,18-06-98,18-06-98,"C.30.11 - Building of ships and floating structures, C.30.11 - Building of ships and floating structures"
M.1005,MÆRSK DATA / DEN DANSKE BANK - DM DATA,Council Regulation 4064/89,01-12-97,N,15-01-98,15-01-98,"C.33.20 - Installation of industrial machinery and equipment, C.33.20 - Installation of industrial machinery and equipment"
M.1006,UPM-KYMMENE / APRIL,Council Regulation 4064/89,05-05-98,N,11-06-98,11-06-98,"C.17 - Manufacture of paper and paper products, C.17 - Manufacture of paper and paper products"
M.1007,SHELL / MONTELL,Council Regulation 4064/89,23-09-97,N,23-10-97,24-10-97,"C.20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms, C.20.1 - Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
M.1009,GEORG FISCHER / DISA,Council Regulation 4064/89,09-02-98,N,10-03-98,10-03-98,"C.33.20 - Installation of industrial machinery and equipment, C.33.20 - Installation of industrial machinery and equipment"
M.101,DRAEGER / IBM / HMP,Council Regulation 4064/89,27-05-91,N,28-06-91,28-06-91,"J.62.0 - Computer programming, consultancy and related activities, J.62.0 - Computer programming, consultancy and related activities"
M.1010,ARTÉMIS / WORMS & CIE,Council Regulation 4064/89,26-09-97,N,22-10-97,29-10-97,"C.10.81 - Manufacture of sugar, C.10.81 - Manufacture of sugar, C.17.1 - Manufacture of pulp, paper and paperboard, C.17.1 - Manufacture of pulp, paper and paperboard, G.47 - Retail trade, except of motor vehicles and motorcycles, G.47 - Retail trade, except of motor vehicles and motorcycles"
M.1011,INGERSOLL-RAND / THERMO KING,Council Regulation 4064/89,23-09-97,N,24-10-97,24-10-97,"C.28.11 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines, C.28.11 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines, C.30.99 - Manufacture of other transport equipment n.e.c., C.30.99 - Manufacture of other transport equipment n.e.c."
M.1013,SHELL UK / GULF OIL (GREAT BRITAIN),Council Regulation 4064/89,27-10-97,N,28-11-97,28-11-97,"C.19 - Manufacture of coke and refined petroleum products, C.19 - Manufacture of coke and refined petroleum products"
M.1014,BRITISH STEEL / EUROPIPE     (See also M.501),Council Regulation 4064/89,23-01-98,N,26-02-98,26-02-98,"C.24.20 - Manufacture of tubes, pipes, hollow profiles and related fittings, of steel, C.24.20 - Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
M.1015,CUMMINS / WÄRTSILÄ,Council Regulation 4064/89,15-10-97,N,17-11-97,17-11-97,"C.28.11 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines, C.28.11 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
M.1016,PRICE WATERHOUSE / COOPERS & LYBRAND,Council Regulation 4064/89,11-12-97,N,20-05-98,03-06-98,"K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding, K.64 - Financial service activities, except insurance and pension funding"
M.1017,HANNOVER RE / SKANDIA,Council Regulation 4064/89,01-10-97,N,03-11-97,03-11-97,"K.65 - Insurance, reinsurance and pension funding, except compulsory social security, K.65 - Insurance, reinsurance and pension funding, except compulsory social security"
